cat,keyword
工业技术,"电熔耐火材料工艺除尘设置及其除尘技术的研究,电熔耐火材料,工艺,除尘技术,布袋除尘"
工业技术,"基于纳秒激光加工技术的表面织构工艺参数研究,纳秒激光表面织构,表面润湿性,表面能,"
工业技术,"化工机械设备安装工艺技术探究,化工机械设备,安装工艺,技术,方法"
工业技术,"热法磷酸生产磷酸脲的工艺技术研究,磷酸脲,热法磷酸,尿素,"
工业技术,"矿用主通信线缆组件制作工艺关键技术研究,主通信线缆组件,制作工艺,关键技术,可靠性"
工业技术,"煤层气田三级降压提高采收率工艺技术及应用,煤层气,三级降压,采收率,"
工业技术,"基于螺杆挤出式工业陶瓷3D打印技术的最佳成型工艺研究,工业陶瓷,聚合物,三维打印,成型工艺"
工业技术,"中小水厂消毒工艺优化及副产物控制技术,消毒副产物,控制技术,中小水厂,"
工业技术,"国内C4烃叠合-加氢工艺制异辛烷技术进展及应用前景分析,C4烃,异丁烯,叠合-加氢工艺,异辛烷"
工业技术,"旋流分离技术在甲醇制烯烃工艺废水处理中的应用,甲醇制烯烃,旋流分离技术,废水,催化剂"
工业技术,"双水相技术提取黄秋葵黄酮的工艺条件研究,黄秋葵,双水相萃取,黄酮,"
工业技术,"基于3D打印技术的微沟槽金属铜电铸工艺,微沟槽,电铸,三维打印,工艺参数"
工业技术,"微系统集成用倒装芯片工艺技术的发展及趋势,倒装芯片技术,芯片凸点,硅通孔转接板,底填充"
工业技术,"优质5号工业白油的生产工艺技术,芳烃含量,5号工业白油,加氢脱芳,优化建议"
工业技术,"大庆油田聚合物驱配注工艺技术,大庆油田,聚合物溶液,配制和注入,工艺流程"
工业技术,"FDM工艺成型体力学性能的数值分析,FDM工艺,力学性能,打印参数,试验设计"
工业技术,"低钠微晶氧化铝工艺技术研究,低钠微晶氧化铝,预处理,煅烧,"
工业技术,"基于三维模型的机加工艺设计关键技术,三维工艺规划,工艺信息,工艺模型,动态重构"
工业技术,"露天矿坑底破碎站结构布置与移设参数的综合优化,工艺布置,结构形式,移设参数,"
工业技术,"碳化硅肖特基器件的刻蚀技术研究,碳化硅,二极管,刻蚀,肖特基"
工业技术,"熔池熔炼工艺处理废线路板关键技术探讨,熔池熔炼,废线路板,熔渣,经济性分析"
工业技术,"6缸缸盖铸件的铸造工艺优化,灰铸铁,缸盖,立浇工艺,"
工业技术,"氟化铝加压结晶工艺技术研究探析,氟化铝,加压结晶工艺,常压结晶工艺,"
工业技术,"锥体内腔多轴数控铣削加工工艺技术,锥体内腔,多轴数控加工,多轴数控仿真,数控铣削"
工业技术,"一种支架加工工艺改进技术,支架,卧式加工中心,双圆柱销,基准重合"
工业技术,"国内老井侧钻技术研究现状及展望,老井,侧钻,工艺技术,研究现状"
工业技术,"超细铝丝矫直过程分析及工艺优化,超细铝丝,矫直,塑性形变,残余应力"
工业技术,"软锰矿还原技术研究现状,软锰矿,还原焙烧,微波,浸出"
工业技术,"双电弧高效焊接技术研究与发展现状,高效焊接,双MIG焊,双TIG焊,TIG-MIG复合焊"
工业技术,"石油产量预测的麦克斯韦模型,石油产量,广义翁氏模型,线性试差法,多项式回归"
工业技术,"石油馏分蒸汽压估算方法的评价,石油馏分,蒸汽压关联式,评价,"
工业技术,"通过优化生产工艺提升延迟焦化石油焦品质,延迟焦化,石油焦,主要因素,措施"
工业技术,"中国石油海外油气勘探理论和技术进展与发展方向,中国石油,海外油气勘探,被动裂谷盆地,含盐盆地"
工业技术,"改性石油树脂对塑料改性研究进展,石油树脂,改性,塑料,应用"
工业技术,"石油树脂/碳纳米管协同效应对天然橡胶/顺丁橡胶共混胶性能的影响,石油树脂,碳纳米管,天然橡胶,撕裂强度"
工业技术,"燃料乙醇发展趋势及我国石油化工企业对策研究,燃料乙醇,乙醇汽油,石油化工企业的影响,应对建议"
工业技术,"喷水对天然气发动机性能影响的数值模拟,内燃机,天然气,喷水技术,数值模拟"
工业技术,"日本南海海槽东部天然气水合物产出与富集特征,天然气水合物,发育背景,赋存特征,富集区"
工业技术,"新中国天然气勘探开发70年来的重大进展,中国,天然气,煤成气,页岩气"
工业技术,"基于ANSYS Workbench的天然气渐扩管冲蚀磨损仿真模拟,天然气渐扩管,应力分析,冲蚀磨损,流固耦合"
工业技术,"祁连山天然气水合物地球化学勘查方法 稳定性和异常重现性分析,天然气水合物,化探指标,异常稳定性,异常重现性"
工业技术,"基于AMESim的天然气管道紧急截断阀控制器仿真及性能实测,天然气管道,紧急截断阀控制器,AMESim软件,液压系统仿真"
工业技术,"天然气管网压力能发电技术现状及未来发展方向,天然气管网,压力能发电,政策,工艺"
工业技术,"大型天然气管道稳态运行优化研究,天然气长输管道,管道运行优化,压缩机,动态规划"
工业技术,"天然气调压装置关键阀门选型与应用,长输管道,调压装置,关键阀门,选型应用"
工业技术,"新型非常规天然气直接催化转化制芳烃催化剂的研究,甲烷无氧脱氢芳构化反应,Mg/Mo/HZSM-5催化剂,耦合,甲醇"
工业技术,"置换法开采天然气水合物用吸附材料研究进展,天然气水合物,置换法,二氧化碳,甲烷"
工业技术,"放空立管与天然气站场间距的计算,天然气站场,放空立管,间距,"
工业技术,"武器装备毁伤评估研究进展,精确打击,高效毁伤,毁伤评估,"
工业技术,"机枪遥控武器站半齿轮结构振动控制技术研究,振动,高锰基合金,机枪武器站,被动控制"
工业技术,"弹炮结合防空武器反无人机集群作战能力研究,弹炮结合防空武器,反无人机,集群作战,防空体系"
工业技术,"面向武器装备体系的系统价值分析方法,武器装备体系,系统价值,综合分析,"
工业技术,"近程反导舰炮武器系统命中毁伤机理及仿真评估方法,近程反导舰炮武器系统,命中机理,毁伤机理,仿真评估"
工业技术,"基于Fuzzy-AHP的舰载反鱼雷武器系统安全性评估方法,反鱼雷武器系统,安全性评估,模糊综合评估法,层次分析法"
工业技术,"某型机枪遥控武器站静动态特性仿真分析,机枪遥控武器站,有限元模型,模态分析,瞬态分析"
工业技术,"精确打击武器集群作战技术发展研究,集群作战,精确打击武器,集群智能化,分布式作战"
工业技术,"基于专利分析的高功率微波武器技术发展研究,定向能,微波武器,射频武器,电磁脉冲武器"
工业技术,"人工智能技术对未来空战武器的变革与展望,人工智能,未来空战,空空导弹,智能化战争"
工业技术,"系统组合选择方法及典型军事应用,武器系统,组合选择,问题剖析,军事应用"
工业技术,"基于蚁群算法的舰载武器共架发射时域协调方法,共架发射,时域协调,发射时间间隔,弹位选择"
工业技术,"数值波浪水池中两栖武器摇荡运动研究,数值波浪水池,两栖武器,摇荡运动,"
工业技术,"半主动激光制导武器系统的高重频干扰有效概率研究,高重频干扰,制导概率,超前概率,波门宽度"
工业技术,"某导气式自动武器导气室压力仿真,导气室压力,数值模拟,流固耦合,自动机"
工业技术,"基于遗传算法的舰载共架武器发射空域协调方法,共架发射,空域协调,弹位选择,遗传算法"
工业技术,"光电对抗技术反无人武器作战问题研究,无人武器,光电对抗技术,作战问题,"
工业技术,"武器装备体系对抗仿真技术研究,武器装备体系,装备体系建模,体系对抗仿真,大数据"
工业技术,"融合领域特征向量的武器装备名深度学习识别方法,武器装备名,Bi-LSTM+CRF,领域特征向量,命名实体识别"
工业技术,"基于激波测试技术的弹丸射击精度测试系统,轻武器,弹丸射击精度,激波测试,信号无线传输"
工业技术,"典型岛礁大气环境室内加速腐蚀试验谱研究,武器装备,岛礁大气环境,当量关系,加速腐蚀试验谱"
工业技术,"声纳性能对ATT武器系统效能影响的仿真分析,反鱼雷鱼雷,迎面拦截,鱼雷防御,拦截效能"
工业技术,"潜伏式武器水下施放后纵平面运动仿真,潜伏式武器,分离减速,纵平面运动,"
工业技术,"Android平台武器故障诊断专家系统设计与实现,Android,故障诊断,专家系统,知识库"
工业技术,"某新型火炮武器系统作战运用数据库的设计与实现?,作战运用,数据,模型,火炮武器系统"
工业技术,"防空导弹武器系统射击效能分析,防空导弹,武器系统,射击效能,杀伤概率"
工业技术,"二次曲面共形整流罩像差影响因素分析,光学设计,共形光学,共形整流罩,二次曲面"
工业技术,"连发射击下某轻型高机动平台振动特性研究,轻型高机动平台,双横臂螺旋弹簧独立悬架,弹性车架,轮胎刚度"
工业技术,"基于灰色聚类的某舰炮技术风险评估,灰色聚类,舰炮,技术风险,评估指标"
工业技术,"基于熵值组合模型的矿业复垦土壤重金属高光谱反演,矿业废弃地,土壤重金属,高光谱,熵值法"
工业技术,"黄金矿业企业合并商誉后续计量模式探析,商誉,后续计量,摊销,减值测试"
工业技术,"建设一流矿业大学,引领煤炭工业发展,中国矿业大学(北京),110周年,一流矿业大学,煤炭工业"
工业技术,"矿业集团物流服务平台建设探析,物流服务平台,承运商,物流金融,资源整合"
工业技术,"超级重介质旋流器在淮北矿业的应用,超级重介质旋流器,无压三产品重介质旋流器,可能偏差,数量效率"
工业技术,"空气源热泵分布式能源站在寒冷地区的应用,空气源热泵,蓄热电锅炉,粒子群算法,优化配置"
工业技术,"基于BAS的京张高铁站房能源管理系统研究,京张高铁,站房,基于BAS的能源管理系统,电热风幕"
工业技术,"可再生独立能源电站能量管理系统研究,可再生能源,混合发电站,能量管理系统,蓄电池组"
工业技术,"新能源电力系统振荡问题的广域协调控制方法,电力系统振荡,相量测量单元,广域协调控制,新能源机组"
工业技术,"考虑综合成本的海上风电与远方清洁能源协同优化模型,海上风电,综合成本,能源配置策略,协调优化"
工业技术,"能源技术视角下的能源安全问题探讨,能源技术,能源体系变革,能源安全,"
工业技术,"能源微藻规模化培养影响因素的研究进展,微藻,生物燃料,水资源,技术经济"
工业技术,"基于综合能源系统价值分析的能源互联网运营商定价方法,能源互联网,综合能源系统,商业模式,运行模拟"
工业技术,"中国主要海上能源通道风险刍议,海上能源通道,能源航线,风险,博弈"
工业技术,"绿色社区多源分布式能源管理平台开发,绿色社区,多源分布式,管理平台,"
工业技术,"新能源汽车高速变速器试验台的仿真设计与分析,新能源汽车,变速器,振动,试验台"
工业技术,"促进新能源消纳的综合能源系统日前市场出清优化,日前出清,出清价格,新能源消纳,综合能源系统"
工业技术,"区域多能源供给系统技术经济综合评估,区域多能源供给系统,指标体系,综合评估,DEMATEL-ANP-反熵权组合方法"
工业技术,"考虑新能源接入的电力多目标优化调度,电动汽车,风电,环境经济安全,电力调度"
工业技术,"基于联合加权熵的高比例可再生能源电网适应性扩展规划,联合加权熵,安全适应性,输电网规划,高比例可再生能源"
工业技术,"基于有机朗肯循环系统的分布式多能源交易机制,配电系统,多能源交易,分布式优化,有机朗肯循环(ORC)"
工业技术,"新能源电动汽车异种材料连接技术的挑战、趋势和进展,电动汽车,先进高强钢,铝合金,碳纤维复合材料"
工业技术,"考虑能源站非线性效率系数的电热综合能源系统运行分析,电热综合能源系统,能源站,效率系数,非线性"
工业技术,"基于POWERBI的能源诊断分析平台研发和应用,能耗监测,诊断,平台,"
工业技术,"基于分层次DBSCAN-VBSO算法的区域综合能源系统两阶段调度优化,区域综合能源系统,分层次DBSCAN-VBSO算法,两阶段调度优化模型,日前调度"
工业技术,"基于图计算的主动配电网综合能源服务技术支持系统,主动配电网,综合能源服务,图数据库,图计算"
工业技术,"飞机液压能源模块负载模拟装置试验研究,负载模拟,压力流量,BP神经网络,PID控制"
工业技术,"欧美国家能源领域的区块链技术应用现状,区块链,能源领域,微电网,"
工业技术,"新能源汽车低温充电策略的研究,低温慢充,低温快充,PTC,充电策略"
工业技术,"基于需供互动的综合能源系统优化调度研究,综合能源系统,优化调度,供需互动,混合整数线性规划"
工业技术,"基于智能合约的能源微市场运营机制,智能合约,分布式交易,可再生能源消纳,微网"
工业技术,"基于潮流路由器技术的多时间尺度可再生能源消纳方法,潮流路由器,可再生能源,多时间尺度,选址定容"
工业技术,"能源互联网环境下分布式能源站的信息安全防护,能源互联网,分布式能源站,信息安全,防护措施"
工业技术,"基于电流幅值比的逆变型新能源场站送出线路T接纵联保护,逆变型电源,继电保护,纵联保护,幅值比"
工业技术,"大型园区综合能源系统能源站优化配置,园区综合能源系统,双层优化配置,Distflow二阶锥模型,线性热网能量流模型"
工业技术,"基于泛在电力物联网的分布式可再生能源(DRE)理性消纳调峰模型,分布式可再生能源(DRE),调峰,虚拟电厂,理性消纳"
工业技术,"热场影响下新能源用接触器弹跳特性研究,接触器,多物理场,实时耦合,弹跳特性"
工业技术,"含储氢装置的分布式能源系统的优化经济调度,分布式能源系统,优化调度,储氢装置,和声搜索算法"
工业技术,"分布式新能源发电系统孤岛检测和反孤岛控制技术研究及应用,分布式发电,孤岛检测,反孤岛,协同控制"
工业技术,"无线充电用磁屏蔽材料,无线充电,磁屏蔽,MnZn铁氧体,NiZn铁氧体"
工业技术,"基于WiFi的无线仪表配置系统设计,无线仪表,WiFi,仪表配置,数字油田"
工业技术,"无线传感器网络的数据传输优化方法,无线传感器网络,LEACH算法,迪杰斯特拉算法,路径代价函数"
工业技术,"基于剩余能量的认知无线传感器网络频谱分配,无线传感器网络,认知无线电,频谱分配,二进制灰狼优化算法"
工业技术,"认知无线电网络中的非正交多址资源分配算法,非正交多址,认知无线电,功率分配,信道分配"
工业技术,"基于嵌入式Web服务器的无线通信设备监控系统,B/S架构,嵌入式,Web服务器,监控系统"
工业技术,"基于Stackelberg博弈的无线定位网络功率分配方案,超宽带信号,无线协同定位网络,均方位置误差下限,Stackelberg模型"
工业技术,"无人机激光无线能量传输APT系统跟踪设计,激光技术,激光能量传输,APT系统,图像跟踪"
工业技术,"电动汽车恒流恒压型无线充电系统设计,电动汽车,感应耦合系统,恒流,恒压"
工业技术,"无线传感器网络近场信号测量可调探头设计,印刷电路板(PCB),无线局域网,可调,光纤激光"
工业技术,"复杂条件下移动异构无线传感器网络覆盖算法,移动无线传感器网络,异构网络,微分进化算法,覆盖控制"
工业技术,"无线携能传输协同中继非正交多址接入系统的 速率优化设计,非正交多址接入系统,无线携能传输,速率优化,功率分配"
工业技术,"多机无线通信的室内监测系统,室内监测系统,无线传感器,多机通信,系统设计"
工业技术,"异构无线网络下实时视频传输码率控制策略,码率控制,异构无线网络,并行传输,视频传输"
工业技术,"面向用户需求的无线带宽优化分配算法,接入点关联,无线接入,图转换,带宽分配"
工业技术,"一种基于无线携能通信的MEC与用户匹配算法,无线携能通信,多接入边缘计算,用户匹配,拍卖理论"
工业技术,"Sink节点移动的三维无线传感网数据收集算法研究,三维无线传感网,数据收集,网络生存时间,丢包率"
工业技术,"基于数据相似度的无线传感器网络节点休眠调度策略,无线传感器网络,数据相似度,聚类分析,休眠调度"
工业技术,"无线Ad Hoc网络中基于活跃节点数预测的时隙ALOHA算法,无线AdHoc网络,时隙ALOHA,接纳控制,竞争接入"
工业技术,"一种RFID系统密钥无线生成算法,无线射频识别,密钥生成,标识符,随机数"
工业技术,"基于ZigBee技术的无线传感器网络在海洋生态环境监测中的应用研究,无线传感器网络,海洋生态环境监测,ZigBee,数据传输"
工业技术,"基于LabVIEW的无线发射机ATE系统设计,LabVIEW,仪器控制,自动测试,芯片检测"
工业技术,"动态无线电能传输系统补偿电容优化设计,无线电能传输,LCC/S补偿,双发射双接收线圈,互感影响"
工业技术,"基于FPGA的以太网无线控制DDS频率源设计,FPGA,以太网,DDS,频率源"
工业技术,"基于数字水印的水下无线传感器网络数据完整性研究?,水下无线传感器网络,分数阶傅里叶变换,完整性,数字水印"
工业技术,"基于语义寻址的绿色无线网络路由的研究,绿色无线传感网络,路由,唤醒无线电,语义寻找"
工业技术,"基于E类逆变器的无线电能传输创新实验设计,无线电能传输,E类逆变器,创新实验,"
工业技术,"虚实一体无线通信综合实验系统,无线通信,实验系统,虚实一体,积木式搭建"
工业技术,"基于多维高斯的无线传感器网络定位算法,无线传感器网络,指纹定位,模糊属性,多维高斯模型"
工业技术,"基于优化RBF神经网络的无线室内定位,室内无线定位,RBF神经网络,核主成分分析,模糊C均值聚类"
工业技术,"基于超声信号的局部放电无线检测装置研制,局部放电(PD),超声信号,硬件滤波,WiFi无线通信"
工业技术,"基于自激逆变器的无线电能传输系统,无线电能传输系统,自激逆变器,并-串联型拓扑,恒压输出特性"
工业技术,"能量收集无线传感器网络中的排队分析,无线传感器网络,能量收集,排队分析,两状态Markov"
工业技术,"机场无线电通信干扰防范对策研究,机场无线电通信,干扰,防范对策,"
工业技术,"基于Linux系统的智能装备高频信号无线监测系统设计,高频信号,无线监测系统,智能装备,数据采集"
工业技术,"一种基于区块链技术的多阶段级联无线安全认证方案,区块链,去中心化,无线安全认证,多阶段级联"
工业技术,"铁路煤炭装车系统全自动化关键问题研究,快速定量装车,自动化,煤炭,"
工业技术,"PDC自动化高频感应钎焊强度的影响因素,PDC钻头,钎焊自动化,高频感应钎焊,钎焊强度"
工业技术,"物料自动化输送系统实时可视化故障预警技术,物料自动化输送系统,故障预警,复杂事件处理,三维可视化管控"
工业技术,"钢轨窄间隙气保护自动化焊接 可行性研究,钢轨,焊接,窄间隙,自动化"
工业技术,"基于SAT的ARX不可能差分和零相关区分器的自动化搜索,不可能差分区分器,零相关区分器,ARX,Chaskey"
工业技术,"快速自动化常温批量测定乙丙橡胶序列分布方法初探,EPM,EPDM,sequence distribution,NMR spectrum"
工业技术,"基于自动化压井系统的置换法压井技术研究,置换法压井,自动-智能化,压井系统,压井效率"
工业技术,"林业物联网自动化测试系统的设计研究,林业物联网,自动化,数据测试,系统实现"
工业技术,"农田灌溉自动化雨水回收装置系统设计与试验,农田灌溉,自动化雨水回收装置,水压压力传感器,"
工业技术,"一种主动配电网智能分布式馈线自动化实现方法,主动配电网,故障隔离,故障自愈,GOOSE"
工业技术,"铁路煤炭装车系统全自动化关键问题研究,快速定量装车,自动化,煤炭,"
工业技术,"PDC自动化高频感应钎焊强度的影响因素,PDC钻头,钎焊自动化,高频感应钎焊,钎焊强度"
工业技术,"物料自动化输送系统实时可视化故障预警技术,物料自动化输送系统,故障预警,复杂事件处理,三维可视化管控"
工业技术,"钢轨窄间隙气保护自动化焊接 可行性研究,钢轨,焊接,窄间隙,自动化"
工业技术,"基于SAT的ARX不可能差分和零相关区分器的自动化搜索,不可能差分区分器,零相关区分器,ARX,Chaskey"
工业技术,"基于自动化压井系统的置换法压井技术研究,置换法压井,自动-智能化,压井系统,压井效率"
工业技术,"林业物联网自动化测试系统的设计研究,林业物联网,自动化,数据测试,系统实现"
工业技术,"农田灌溉自动化雨水回收装置系统设计与试验,农田灌溉,自动化雨水回收装置,水压压力传感器,"
工业技术,"一种主动配电网智能分布式馈线自动化实现方法,主动配电网,故障隔离,故障自愈,GOOSE"
工业技术,"基于建筑性格特征的创作思考,建筑,性格特征,创作手法,"
工业技术,"绿色地下公共建筑评价体系研究,绿色建筑,评价标准,地下建筑,适用性"
工业技术,"矩形高层建筑风荷载气动导纳研究,气动导纳,高层建筑,深宽比,绕流特性"
工业技术,"居住建筑顶层夏季隔热改造研究,居住建筑顶层,屋顶,外窗,外墙"
工业技术,"点支式玻璃建筑结构地震损伤评估模型研究,点支式,玻璃建筑结构,地震损伤,评估"
工业技术,"建筑外立面构件对室内自然通风效率的影响,绿色建筑,自然通风,计算流体力学,扰流建筑"
工业技术,"超低能耗技术在绿色建筑中的应用研究,超低能耗技术,绿色建筑,被动供暖,室内舒适度"
工业技术,"建筑采光缩尺模型动态评价实验的模拟验证,动态评价实验,相似原理,采光量,有效采光照度"
